param,ours,ours-HT,ours-HT-HD,ours-HT-HD-R
10,21.690104166666668,21.66015625,21.630208333333332,30.845052083333332
20,36.897135416666664,36.91796875,36.904947916666664,54.4453125
30,53.244791666666664,53.421875,53.419270833333336,78.84244791666667
40,70.9375,70.88671875,70.95572916666667,104.04817708333333
50,91.2421875,91.26692708333333,91.38020833333333,131.15755208333334
100,215.47786458333334,215.44010416666666,215.39453125,284.6822916666667
150,382.1328125,382.1458333333333,382.3151041666667,468.90625
200,593.46484375,593.51171875,593.5026041666666,691.3333333333334
250,828.3932291666666,828.1901041666666,828.2122395833334,924.5299479166666
300,1120.9856770833333,1121.1979166666667,1121.08203125,1216.4518229166667
400,1810.484375,1810.6158854166667,1810.4153645833333,1836.0481770833333
500,2650.1119791666665,2650.1901041666665,2650.08984375,2597.5221354166665
