param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(np)
10,16.7265625,16.59375,15.25,15.875,13.625,12.75
20,28.515625,28.24609375,23.1953125,23.1796875,19.05859375,18.4453125
30,44.99609375,44.80078125,32.828125,32.953125,25.953125,25.9921875
40,65.625,65.10546875,44.33984375,44.09765625,34.83984375,34.828125
50,95.51953125,94.74609375,58.0,57.80078125,45.86328125,45.8671875
100,285.6171875,284.96484375,148.7109375,149.1796875,125.15625,124.32421875
150,624.640625,624.05078125,291.90234375,292.29296875,253.703125,251.81640625
200,988.01171875,980.88671875,469.2109375,469.0859375,416.19140625,413.11328125
250,1534.66015625,1522.5625,688.88671875,688.765625,619.90234375,614.83203125
